date,gold_usd_oz,silver_usd_oz,EURUSD,JPYUSD,GBPUSD,CHFUSD,AUDUSD,CADUSD,SGDUSD,CNYUSD,AEDUSD,SARUSD
2020-01-01,1582.9,17.972,1.102913,0.00918468,1.3089,1.031555,0.670826,0.756928,0.734026,0.144182,0.272316,0.266828
2020-02-01,1564.1,16.387,1.099723,0.0091191,1.288892,1.032258,0.65802,0.747038,0.716985,0.142786,0.272316,0.266782
2020-03-01,1583.4,14.098,1.102657,0.00930163,1.240849,1.040031,0.6137,0.710328,0.703383,0.141215,0.272316,0.265927
2020-04-01,1684.2,14.898,1.094547,0.00932097,1.258147,1.034693,0.64955,0.716697,0.708767,0.141617,0.272257,0.26647
2020-05-01,1736.9,18.44,1.111852,0.00928436,1.2348,1.040994,0.665978,0.725795,0.708356,0.140129,0.272292,0.266397
2020-06-01,1793.0,18.541,1.123595,0.0092602,1.238927,1.056189,0.6902,0.736692,0.717535,0.141555,0.272316,0.266898
2020-07-01,1962.8,24.189,1.187225,0.00955265,1.311785,1.100715,0.720368,0.745556,0.729267,0.142708,0.272316,0.266896
2020-08-01,1967.6,28.437,1.193902,0.00943361,1.336452,1.106317,0.7381,0.767165,0.735056,0.146034,0.272316,0.266938
2020-09-01,1887.5,23.433,1.172608,0.00948308,1.291756,1.08613,0.716651,0.75158,0.732762,0.147282,0.272316,0.266906
2020-10-01,1877.4,23.617,1.16787,0.00956444,1.293193,1.092526,0.70376,0.751016,0.732016,0.148943,0.272316,0.266936
2020-11-01,1775.7,22.534,1.197146,0.00960781,1.333191,1.105913,0.740028,0.770262,0.747647,0.152068,0.272281,0.26666
2020-12-01,1893.1,26.332,1.22999,0.00969735,1.363066,1.134327,0.768929,0.784271,0.755892,0.153323,0.272316,0.26683
2021-01-01,1847.3,26.9,1.212004,0.00958856,1.372501,1.125354,0.76697,0.779369,0.752672,0.155077,0.272264,0.266899
2021-02-01,1728.1,26.402,1.216042,0.00940035,1.400815,1.104277,0.787,0.793028,0.752944,0.154947,0.272324,0.266914
2021-03-01,1713.8,24.517,1.172883,0.00902935,1.378626,1.059434,0.75941,0.795906,0.743478,0.152644,0.272316,0.266933
2021-04-01,1767.3,25.853,1.212709,0.0091824,1.395284,1.10011,0.777762,0.814584,0.754489,0.154531,0.272316,0.266944
2021-05-01,1902.5,27.993,1.223287,0.009133,1.422678,1.11309,0.77435,0.829139,0.757209,0.157011,0.272346,0.26691
2021-06-01,1770.8,26.165,1.185677,0.00899896,1.382915,1.08114,0.74977,0.806927,0.74366,0.15489,0.272316,0.266935
2021-07-01,1812.6,25.528,1.1893,0.00914002,1.396433,1.104094,0.73961,0.803258,0.739115,0.154911,0.272316,0.266885
2021-08-01,1815.0,23.96,1.181028,0.00908628,1.37534,1.092538,0.73179,0.792638,0.744158,0.154808,0.272316,0.266912
2021-09-01,1755.3,22.021,1.157448,0.00897175,1.346983,1.072409,0.723118,0.788395,0.736247,0.155147,0.272316,0.266917
2021-10-01,1783.0,23.945,1.168361,0.00880158,1.380072,1.097045,0.75316,0.809972,0.743998,0.156485,0.272316,0.266897
2021-11-01,1773.6,22.765,1.129344,0.00878704,1.331505,1.083576,0.71458,0.785053,0.730802,0.156568,0.272324,0.266867
2021-12-01,1827.5,23.328,1.132503,0.00869089,1.349837,1.094451,0.72498,0.784658,0.739694,0.156934,0.272324,0.266669
2022-01-01,1795.0,22.395,1.115237,0.00867589,1.340339,1.073964,0.6998,0.783754,0.737523,0.157456,0.272283,0.266567
2022-02-01,1899.4,24.361,1.118105,0.00865164,1.337327,1.079218,0.718649,0.783994,0.735813,0.158328,0.272282,0.266603
2022-03-01,1949.2,25.121,1.107236,0.00821315,1.3147,1.083201,0.749193,0.800096,0.738389,0.157756,0.272324,0.26687
2022-04-01,1909.3,23.04,1.05042,0.00764462,1.246385,1.029124,0.710884,0.780969,0.721241,0.150937,0.272324,0.266948
2022-05-01,1842.7,21.651,1.073411,0.00776784,1.260891,1.042188,0.718262,0.791202,0.730007,0.149887,0.272324,0.266971
2022-06-01,1804.1,20.282,1.047768,0.00736453,1.216086,1.047022,0.68976,0.776778,0.719352,0.149294,0.272324,0.266855
2022-07-01,1762.9,20.156,1.020825,0.00749586,1.216737,1.049241,0.697122,0.780299,0.723851,0.148298,0.272283,0.266326
2022-08-01,1712.8,17.762,1.003905,0.00717896,1.159851,1.021377,0.68285,0.760965,0.714985,0.145161,0.272324,0.266392
2022-09-01,1662.4,18.96,0.982956,0.00692372,1.116944,1.025715,0.6513,0.731288,0.69869,0.140373,0.272324,0.266433
2022-10-01,1635.9,19.125,0.9955,0.00676535,1.159595,1.003603,0.640131,0.734856,0.708301,0.137904,0.272287,0.266312
2022-11-01,1746.0,21.55,1.03245,0.00720747,1.194686,1.047878,0.668409,0.736182,0.727093,0.139677,0.272324,0.26647
2022-12-01,1819.7,23.862,1.066075,0.00752355,1.205633,1.0836,0.6766,0.737898,0.744313,0.143614,0.272301,0.266316
2023-01-01,1929.5,23.748,1.085069,0.00766407,1.235361,1.080754,0.70581,0.747172,0.760919,0.148196,0.272324,0.266688
2023-02-01,1828.9,20.961,1.061121,0.00733584,1.206156,1.068833,0.6743,0.736703,0.742666,0.144011,0.272324,0.266788
2023-03-01,1969.0,24.076,1.090465,0.00750745,1.238728,1.094835,0.671682,0.739541,0.753052,0.145552,0.272339,0.266748
2023-04-01,1990.1,24.999,1.101091,0.00733213,1.255761,1.117568,0.66124,0.737512,0.749288,0.144695,0.27238,0.266674
2023-05-01,1963.9,23.474,1.069519,0.00718768,1.244694,1.099034,0.65064,0.737137,0.740028,0.140631,0.272339,0.266945
2023-06-01,1921.1,22.81,1.086803,0.00690703,1.261464,1.112174,0.661971,0.754717,0.737365,0.137897,0.272331,0.26695
2023-07-01,1970.5,24.854,1.099759,0.00702627,1.283401,1.147249,0.671682,0.758035,0.752027,0.14093,0.272324,0.266869
2023-08-01,1938.2,24.472,1.08441,0.00687413,1.267283,1.132246,0.648841,0.740209,0.740576,0.1378,0.272331,0.266926
2023-09-01,1848.1,22.236,1.056245,0.00669626,1.22048,1.093183,0.642797,0.741235,0.732043,0.136988,0.272331,0.266969
2023-10-01,1985.2,22.841,1.061504,0.00670641,1.216575,1.108574,0.6371,0.723139,0.732719,0.13676,0.272331,0.26689
2023-11-01,2038.1,25.293,1.09737,0.00680092,1.26964,1.145056,0.661901,0.735824,0.750508,0.141265,0.272376,0.266894
2023-12-01,2062.3999,23.853,1.106819,0.00707064,1.273399,1.185733,0.68263,0.755881,0.757691,0.140706,0.272287,0.267007
2024-01-01,2048.3999,23.051,1.08434,0.00678569,1.269551,1.160281,0.65948,0.746174,0.746659,0.140962,0.272331,0.266997
2024-02-01,2045.7,22.666,1.083882,0.00663764,1.266304,1.138032,0.64947,0.736513,0.742964,0.138966,0.272331,0.26694
2024-03-01,2217.3999,24.797,1.079273,0.00660511,1.263727,1.108647,0.6533,0.739541,0.74201,0.138498,0.272346,0.266652
2024-04-01,2291.3999,26.391,1.066655,0.00634027,1.249016,1.087559,0.6478,0.725847,0.732488,0.138108,0.272272,0.266961
2024-05-01,2322.8999,30.297,1.083541,0.00637133,1.273042,1.10704,0.66303,0.730818,0.740905,0.138246,0.272331,0.266941
2024-06-01,2327.7,29.237,1.073526,0.00621477,1.264862,1.110864,0.667401,0.731384,0.738171,0.137631,0.272279,0.266876
2024-07-01,2426.5,28.778,1.082392,0.00667806,1.285314,1.138771,0.6547,0.724202,0.748671,0.138558,0.272331,0.266866
2024-08-01,2493.8,28.731,1.108045,0.00690179,1.316621,1.180721,0.67958,0.741339,0.767684,0.140934,0.272283,0.26682
2024-09-01,2636.1001,31.164,1.11366,0.00695846,1.337614,1.182998,0.69158,0.739251,0.778168,0.142501,0.272331,0.266884
2024-10-01,2738.3,32.653,1.085918,0.00652724,1.295958,1.154335,0.65728,0.719011,0.756464,0.140552,0.272331,0.26659
2024-11-01,2657.0,30.685,1.056301,0.00661489,1.26968,1.13335,0.65074,0.713919,0.745534,0.138066,0.272331,0.266537
2024-12-01,2629.2,28.94,1.040615,0.00636963,1.25491,1.107125,0.622,0.696874,0.735689,0.137022,0.272331,0.266526
2025-01-01,2812.5,32.128,1.039728,0.00648942,1.24239,1.099664,0.6215,0.689988,0.73976,0.139258,0.272331,0.266932
2025-02-01,2836.8,31.219,1.039512,0.00666613,1.25989,1.11121,0.62322,0.692353,0.741895,0.137263,0.272353,0.266952
2025-03-01,3122.8,34.457,1.081888,0.00667054,1.29209,1.131452,0.624189,0.694893,0.744469,0.137804,0.272331,0.266903
2025-04-01,3305.0,32.531,1.13249,0.00699257,1.332392,1.210712,0.641309,0.725184,0.765908,0.13754,0.272264,0.266873
2025-05-01,3288.8999,32.892,1.137838,0.00695512,1.349899,1.216589,0.6446,0.724338,0.777454,0.138818,0.272368,0.266876
2025-06-01,3294.3999,35.852,1.178717,0.0069541,1.373061,1.261479,0.657808,0.735002,0.786949,0.139595,0.272368,0.266914
2025-07-01,3293.2,36.552,1.142374,0.00663253,1.320987,1.228652,0.642909,0.721657,0.770594,0.138885,0.272368,0.266889
2025-08-01,3473.7,40.2,1.16918,0.00679824,1.350384,1.249001,0.65436,0.727887,0.779065,0.140245,0.272368,0.266525
2025-09-01,3649.3999,42.387,1.172649,0.00677204,1.355344,1.255178,0.6649,0.722596,0.779624,0.140367,0.272368,0.26666
